audio_file|text|speaker_name
female_14332.wav|नेआ एक्सक्लूसिव कैलेंडर मार्च फर्स्ट वीक रे लान्च याको।|female
female_14600.wav|सचिन नेन सोमोय महरौली थाना रे हिरासत रे मेना इया।|female
female_14633.wav|आञ दो लेल गे होकाजानाञ।|female
female_14684.wav|श्री पशुपतिनाथ समिति सागाते नेडाकान पाट पोरोब सोमाए रे नगर|female
female_14723.wav|ओकोआ आएआ होनकोड़ा रिकाएआ।|female
female_1494.wav|नेआ फिलिम रे सोबेनको आपान नातिनको उड़ुगा।|female
female_15001.wav|दिन भइर रइत भइर अदा कन तइकेनाय|female
female_15012.wav|मुखौटा अर बांड संरेखण प्रणाली मोयोद एटा लेकान बोरोडो|female
female_15151.wav|एनका रेयो पारा ऊयु जान रे होडोको आमुन काको मुंडि याको।|female
female_15207.wav|शनि दो न्यायरा: अधिकारी देव ग्रह मेना:।|female
female_15340.wav|बरखा बेसे उदास ताइनतानताइकेन नेआ जागारते।|female
female_15561.wav|इनिआः पाहाम रिका मेनते जोआर।|female
female_15781.wav|बार उपुन सिरमा जाकेद ओड़ोः हाकाकान ताइकोआ।|female
female_16218.wav|मेनदो सारते जाए एटाःओ नेआ गे|female
female_16275.wav|लाइः रे लाचोकेआते आएः इनिः पेनटि ओचोःकेदाएः।|female
female_16676.wav|ओड़ोः निः नेसाः आले तीर्थयात्री कोलोः जानाःगे बोजकाओ केदा।|female
female_16734.wav|इनिः आञाः ती रोकाओ रआः कोसिसि का लेकागे रिका केदा।|female
female_17036.wav|राः लातार रे बाइ नातिन आयार हिजुः गे लागातिङा।|female
female_17086.wav|ओंडोरजान रे एनलोःगे अस्पताल का सेनोः दाड़िओःआ।|female
female_17140.wav|मुल्ला काजिकेदाएः चि आयार इदिपे।|female
female_17307.wav|इनिआ स्थिति काए: ठोरला:|female
female_17593.wav|ओकोआरे जीदन रआः पूरा बार गेल सिरमाञ पारोमकेदा।|female
female_18212.wav|चिलकाते आले, आम सानाङ दो सानाङताना मेनदो नाचार गेआबु।|female
female_18359.wav|शहररे सांगिनो: कुड़िको हृदयरोगतेको गोजोताना।|female
female_188.wav|ची या नोकिआ स्वदेशी कंपनी तना:|female
female_18822.wav|नेकोआ परचि ओ का होबाव दाडियोा।|female
female_18950.wav|ज्योत्सना लोओःते इंगअः बुगिन जमान जारू बुगिते बिरिद् जना।|female
female_19108.wav|चिमतुङ लोकसभाआ बीएसीरा: फैसला होबाजाना।|female
female_19270.wav|तालारे होड़ोको शर्त लागाओकेआते इनुङतानको ताइकेना।|female
female_19376.wav|सिरमा दो नाः ओड़ोः बानचावाकान गेआ।|female
female_19532.wav|इनि लिजा ओचो:केदा ओड़ो: खिड़की बितार थेरकेदा।|female
female_19561.wav|मिआद बायार होटोः रेओ ताइकेना।|female
female_2185.wav|सालाकान मतदान केंद्रकोरे लाइव वेब कास्टिंगओ होबाओआ।|female
female_247.wav|लेलेआबु नेआ कोता: हमि: सरते?|female
female_261.wav|नेया दो माजा लुतुम का बाई जाना।|female
female_2706.wav|व्यापारिक जगहरे कार्ड प्रयोगरा: जेतन प्रभार बानो:।|female
female_2817.wav|सेंटोस द्वीप रे बेसे डोमबोलतान होटल ताइना।|female
female_2876.wav|हालांकि कारोबाररा: अंतिम दौररे जाना मजबूती लेलो:जाना।|female
female_3659.wav|इनिः चिउलाओ आपान गोनोएः काएः लेलाकादा।|female
female_3995.wav|नेलेका गे शहर रेओ हुपड़िगं अस्पताल कोरेओ मरीज को भर्तीआकना।|female
female_4097.wav|पोकोतो गाराङ बेपार सोला इतु सानाङताना?|female
female_4198.wav|माइनान सुशीला नरेन्द्र शर्मा राः मिआद उनुड़ुःमेनाः।|female
female_4253.wav|बेस संगीत नमो: र:अ योग मेनअ:|female
female_4502.wav|नाआः वेब जर्नालिस्म हिजुःताना।|female
female_4600.wav|मिआद सुल्तानपुर दो एटाः अमेठी संसदीय क्षेत्र|female
female_4885.wav|राबाङ हुड़िङ अपान असर लेलरिकातान ताइकेना।|female
female_4991.wav|राजभाषा हिन्दी राः हारा लेल|female
female_5017.wav|श्रीकृष्ण  तकिना झांकी ओड़ो: व्रत बोंगा।|female
female_5159.wav|नेआ भारत रेन कुड़िकोआः कारण ते गे होबाआकाना।|female
female_5560.wav|जगर अर यथार्थ रे जेतान अंतर बानो।|female
female_5613.wav|पूर्णगिर सेन लाई सिदा टनकपुर सेन पड़वओःअ।|female
female_6169.wav|ओड़ोः दो होरागे चानाः ताइकेना?|female
female_6250.wav|अम तनमे मरि हड़म होड़ो कोअः हिनिजुः दुआर।|female
female_6465.wav|इनि: अयर‌ सेनो: होरा बु ओम दाडिआ।|female
female_6553.wav|स्मारेअः समा रेगे, अएअः समागिड़ि रे बड़वारिन बुगिना।|female
female_6833.wav|भगिनिआः बादला आउ कुर कोलोः|female
female_6869.wav|नेआ रा: नगेन ते जिला कोरेओ अपिरेअ: तेआ उपय को बइओ:व।|female
female_6963.wav|जाआलेका नी:के हायर सैकेन्ड्री हबि: जाबारदासतीञ पाड़ावकिआ।|female
female_6972.wav|इमिन रेओ पुलिस पेड़ेअनको डोन्डोगे को बइयाकन तइन केना।|female
female_7046.wav|ने हुनि रे मिआद होरा सेननिः टोःजाना।|female
female_7251.wav|ओकोए ताइनजाना मैदान ए जंगरे इनि दाड़िगेआए।|female
female_7637.wav|नेताः हिजुः सिदा रे इनिः डीएएसआई टीम रे ताइकेनाएः।|female
female_7802.wav|गोटासिंगि ओड़ा: रे बेसे कमि का ताइकेन मेनते।|female
female_7849.wav|बिसाहुरा:ओ हाटिङ ताइना।|female
female_7876.wav|कोरियारा: जलवायु उत्तरी चीन लेकागे मेना:।|female
female_7949.wav|विदाई समारोह अर सिरमा जमाइनुंग निनिर लपअः।|female
female_9061.wav|किनतु चना पूरना फिल्म कोरा मान्यता छबा जना?|female
female_9450.wav|नेआ कोशिश न्यायिक संस्थान द्वारा रिकाओताना।|female
female_9532.wav|ओको जागारको ते खिलाफ रे मेनाःमेआ।|female
female_9541.wav|मैच तायोम आयुब पुरस्कार हाटिङोःआ।|female
female_9700.wav|मिआद मुंबई रे मेनाः ओड़ोः एटाः गोवा रे।|female
female_9741.wav|होनोबा सोमार हुलंग तला निदा रेअः तनअः।|female
female_9881.wav|नौकरी नामजाना मानदो जेद्दाहरे।|female
male_10204.wav|चानाःमेनाते सोबेनकोआ ते साङगि काजिकामिको शमशान रे रिकाओःआ।|male
male_10349.wav|केषुभाई गुजरात रे माजा तेको उरूमिआ।|male
male_10498.wav|जिनदाल फाउनडेशान बाइकेनिः सीताराम जिनदाल|male
male_10612.wav|संस्कृत वर्ण द रे  विभाजन रा: भाव मेना:।|male
male_10614.wav|मिथिला रेआः रोआ सभा रआः लेनेल नागेन होएओ रे|male
male_10647.wav|कुनुलिकोआः जागाररुड़ा रे इनिः सेकेड़ा रिकातान ताइकेना।|male
male_10771.wav|भाजपा ता: इसु पुरा: मुद्दा को मेना:।|male
male_1097.wav|बस रे बहोत हुडिंग होडो को ताईकेना:|male
male_1104.wav|दो मोन रे तनाव लेका होबाव तइना|male
male_12036.wav|अकबर रेगे: तेतंग बरना: ते बलय तन तइकेना।|male
male_12207.wav|गोटा फिलिम उपुन हानाटिङ रे हाटिङाकाना।|male
male_12496.wav|ने लेका गे चीन रेन को कजिआकदा|male
male_13011.wav|ओड़ोः आञ कुरकुराओ जानाते इनिः सामाङातेञ पारकान जाना।|male
male_13163.wav|तनाव रा: त्रिभुज रे फंसे कन होन को|male
male_13286.wav|आपि चांडुः आते तुरि चांडुः जाकेद।|male
male_13708.wav|धोरोम ओड़ो: जाति जेताए बपौति का तना:।|male
male_13817.wav|अयुम केते: उदबेम चिनका अटकर जाना ने दुरंग|male
male_14038.wav|मूं राः दाड़ि मेनाः चि इनिः सोआन आउ दाड़िआएः।|male
male_14116.wav|डॉक्टर को यो बाइपोलर डिसऑर्डर उदुब केदाको|male
male_14296.wav|इनिः आसिजाना काआनि आर हिजुः चांडुगे चापा केदा।|male
male_14365.wav|निमिनाङ नाड़ेः रेनि दो मुख्य सचिव सनते बांगाइआ|male
male_1471.wav|निकुः एटाः कोआः ओड़ाःको हांदिड़िताना।|male
male_14785.wav|जनार्दन तकिना: जोमसा: रे कुअंर सायोब दुबाकन तइकेना।|male
male_14900.wav|आइंग:अ परिवार दर्शक कोअ: थला रे मौजूद मेना:|male
male_14985.wav|जबचि मर्यादा सोमाए लोः सेसेनतान धारावाहिक तानाः।|male
male_14988.wav|माओवादियों को मंच रे दोहो कन माइक्रोफोन केयो को रपुद केदा:|male
male_15127.wav|शर्बत ओड़ोः मेटाइ रे नेआ लागाओआ।|male
male_15213.wav|आञ काजिताना नेआ गे दाङ आबुआः सालापिति रआः विषय तानाः।|male
male_1523.wav|ओकोआ बारगेलमिआद सानाए रे चाबाओआ।|male
male_15638.wav|अदालत इनकुएः राड़ाकेदकोआएः।|male
male_1597.wav|नेया बर सौ वर्ग मीटर र:अ गोदाम तना:|male
male_16136.wav|नेसोमाए मामला बारे रे पुलिस काको उदुबाकाना।|male
male_16559.wav|राबाङ राः एनेटेः आर हामबाल लिजाःको।|male
male_1675.wav|ओकोआ अंदाज रे आइंग कमि लगातिंगा।|male
male_1716.wav|चासि हाराएः रे बारिआ जिनिसि सोबेनाते पुराः जारूड़ु मेनाः।|male
male_17473.wav|मेनदो नेआ मामला रे तलत महमूद बेसे बिनगा ताइकेना।|male
male_1773.wav|बेसे हेड़ाते फंड रेआ मंजूरी होबा जना।|male
male_1776.wav|आयागा: मेद मिआद पीतल चाटुरे: टो:जाना।|male
male_1798.wav|इनिः इनिआः गोजोः राः आगोमो आगोमतानताइकेना।|male
male_1930.wav|अया: अपुतेयो: आया: मेद के दाड़े रा: संकल्प|male
male_19621.wav|एनका दो सेकुलर काजिओः नातिन एटाः काजिकोओ मेनाः।|male
male_2043.wav|सारतेदो नेआ छापाकान सोबेनाते माराङ होसोड़ो ताना।|male
male_211.wav|एना: लो: ते लगेज स्कैनर को लगाओ कना।|male
male_2255.wav|गुण अपन तेगे टुंग पेड़े: नमा।|male
male_2477.wav|सिदा हुलाङगे इसुपुराः होड़ोको पेरेःजाना।|male
male_2482.wav|कारेदो आमाः काटारे मुइः टुंडाङताना।|male
male_2561.wav|ओड़ोः संसद कबु सेसेन रिकाएअ।|male
male_2774.wav|जीत ओड़ो: वन्त कौर इनि: दुलाड़ा ते हुड़िंग आबा कजि‌ तन तइकेना।|male
male_2976.wav|आम उदुबकेदा चि मंत्री होनकोआः सोमाए ताइकेना।|male
male_3113.wav|नेताः आते बस नामोआ।|male
male_3208.wav|चेला इनिः गुण होनकोड़ा मेनाःइ।|male
male_350.wav|रेणु श्री रविशकर गा: फॉलोवर तनी:|male
male_3543.wav|क्रिटेषस जुगु रे एमोनाइटीजको आद जाना।|male
male_3655.wav|एमएससी मनोविज्ञान राः स्नातक राः रुप रे आम स्नातकोत्तर|male
male_367.wav|देओंड़ा दो ठुल गोएः रआः को कोसिसिलाः|male
male_3684.wav|मगर अले पहम केदा ची निमनंग जुलुम ठीक कहा|male
male_3694.wav|नेआ ते समाज रे बोरोअन रेआ होरा बइ:ओ तना।|male
male_3748.wav|घोटना रे आएआः बारिआः होड़ोमो बानचाव ताइकिनो किन टोःआकाना।|male
male_3814.wav|आञ खाने इंटरनेट रे आउटसोर्सिंग राःकामि रिकाएआञ।|male
male_3855.wav|पतंग अपिर नि नेआ आसे मेनते हिजु: गाए।|male
male_4189.wav|पार्टी रेआ गतिविधि शिव सेना रेआ बइरि चिना: मेनते।|male
male_4219.wav|नेया अलपे पहमे ची जाय गी को नेलबुआ दो चिनअ:सोचवया|male
male_4284.wav|नेआ तायोमते निः बारिआ होनकिन जोनोमे ओमादकिना।|male
male_4323.wav|तिसिंग लोआड़ि रे सुजी रेआ: हलवा ओड़ो: उत्तपम को ओम ला:।|male
male_4524.wav|आञ पुराः बा रेआः बाजुम्बा (गुलदस्ता) ओम सुकु बानोः।|male
male_4556.wav|शंकर काजि केदाएः हे हे आमाः जी रे जाआना इनिदो मेनाः|male
male_4594.wav|इसु पुराः धन्यवाद होबाओःका जानकारी नागेन|male
male_4603.wav|बेपार ओड़ोः दानाड़ि मिआद सारते सोंगेआः बुटारे मेनाः।|male
male_492.wav|ना:दो हिन्दीते दुनियाभररा: वेबसाइट मेनागा।|male
male_5312.wav|आशुतोश तकिना: जोधा ओड़ो: आधुनिक बरन छोलोन मेना: ।|male
male_5473.wav|आए: केओ ने अस्पताल रेगी भर्ती कीया को|male
male_5477.wav|विवरण अधीक्षक श्रीमती संध्या मरठे अचल तनि।|male
male_5835.wav|हाइ चानाः उड़ुःकेआते लुमोः राः उकुतातानाएः।|male
male_5853.wav|अया: रूवा र:अ चलते इनी:या रेंग: गोए: कन तइकेना|male
male_5859.wav|इनिः नेकागे जाआन नियम बादिलि दाड़िआएः।|male
male_5940.wav|पूंजीवाद गे अबुअ: मसीहा बइजनाए|male
male_6052.wav|कठमुल्ला को तुड़ुकु विरोधी कजि केआते फतवा जारि केदा।|male
male_6068.wav|चिमिनाम लाउकाको नेआ आतोमते सेसेन पारोमाकाना।|male
male_6170.wav|नि कृत्रिम रेआ लिजा: तुसिंगाकन तइकेना।|male
male_6196.wav|नेकान दिरि कुंटा (स्तंभ) दाः पुटिः ताःरे मेनाः।|male
male_62.wav|अको नाः ते सिदा मस्जिद कको सेन केना।|male
male_6420.wav|नेआ जागारको राकांपा रेन प्रदेश अध्यक्ष उपेन्द्र कुशवाहा काजिकेदाएः|male
male_6551.wav|आञ इसु दुकु आर खीस लेलनामलेदाञ।|male
male_66.wav|पुलिस दो ओतोङ किःआते मिआद दांगड़ा भीमसिंह के साब किआ।|male
male_6719.wav|टुङको गालाङतादाको बिनगा संसार|male
male_681.wav|सरकार सीबीआइएः आपान ती रे जोगाओ सानातानाएः।|male
male_7012.wav|ओकोआ जिबोन रे मिआद अमृत ताइकेना|male
male_7095.wav|हूडिंग तेगी बैला तइकेनाइंग ओडो ना: जकैद मेनाइंआ|male
male_7189.wav|अंग मिग कदम हो सेसन लाई पेडेग बानो|male
male_7208.wav|शर्करा ओड़ोः मिआद फास्फेट ताइना।|male
male_7355.wav|वरुड़ तेबाःजानलोः सीट रे दुबाकान दाङगाड़ा हाड़ागुनजानाएः।|male
male_7383.wav|डाक्टर कोआ: नेआ हड़ताल निसकन बारी दो कागे|male
male_7730.wav|इनिंग मिंग नुबा हो तइन जानय|male
male_8726.wav|अपना: ओडा: रा: कुमु साकार दड़ीया|male
male_8728.wav|आञाः कुमु आञाः डायरी आञाः जीदन|male
male_8828.wav|नेआ दो बेसे नवा उतर क्लोनिंग प्रौद्योगिकी।|male
male_8897.wav|आञाः केनटेद ओड़ाः होड़ो ते नेका काजिकेआद तायोमते|male
male_8943.wav|मिआद समीछा सानाङतानाञ आमाः ते।|male
male_9275.wav|अर्जनगढ़ दिल्ली सहर रआः मिआद टायाद तानाः।|male
male_9685.wav|रसेल ग्रांट बेसे मोटो जाना।|male
